,Time,bus_count,car_count,taxi_count,motorcycle_count,tricycle_count
0,0.00,1,0,0,0,0
1,10.00,2,0,0,0,0
2,100.00,10,0,0,5,0
3,1000.00,0,1,0,0,0
4,10000.00,0,6,3,0,0
5,10005.00,0,6,3,0,0
6,10010.00,0,6,3,0,0
7,10015.00,0,6,3,0,0
8,10020.00,0,6,3,0,0
9,10025.00,0,6,3,0,0
10,10030.00,0,7,3,0,0
11,10035.00,0,7,3,0,0
12,10040.00,0,7,3,0,0
13,10045.00,0,7,3,0,0
14,1005.00,0,1,0,0,0
15,10050.00,0,7,3,0,0
16,10055.00,0,7,3,0,0
17,10060.00,0,7,3,0,0
18,10065.00,0,7,3,0,0
19,10070.00,0,8,4,0,0
20,10075.00,0,8,4,0,0
21,10080.00,0,8,4,0,0
22,10085.00,0,8,4,0,0
23,10090.00,0,8,4,0,0
24,10095.00,0,8,4,0,0
25,1010.00,0,1,0,0,0
26,10100.00,0,7,4,0,0
27,10105.00,0,7,4,0,0
28,10110.00,0,7,3,0,0
29,10115.00,0,7,3,0,0
30,10120.00,0,7,3,0,0
31,10125.00,0,7,3,0,0
32,10130.00,0,7,3,0,0
33,10135.00,0,7,3,0,0
34,10140.00,0,7,3,0,0
35,10145.00,0,7,3,0,0
36,1015.00,0,1,0,0,0
37,10150.00,0,7,3,0,0
38,10155.00,0,7,3,0,0
39,10160.00,0,7,3,0,0
40,10165.00,0,7,3,0,0
41,10170.00,0,7,3,0,0
42,10175.00,0,7,3,0,0
43,10180.00,0,7,3,0,0
44,10185.00,0,6,3,0,0
45,10190.00,0,6,3,0,0
46,10195.00,0,6,3,0,0
47,10200.00,0,6,3,0,0
48,10205.00,0,6,3,0,0
49,10210.00,0,6,3,0,0
50,10215.00,0,6,3,0,0
51,10220.00,0,6,3,0,0
52,10225.00,0,6,3,0,0
53,10230.00,0,6,3,0,0
54,10235.00,0,6,4,0,0
55,10240.00,0,5,4,0,0
56,10245.00,0,5,4,0,0
57,10250.00,0,5,4,0,0
58,10255.00,0,5,4,0,0
59,10260.00,0,5,4,0,0
60,10265.00,0,5,4,0,0
61,10270.00,0,5,4,0,0
62,10275.00,0,5,4,0,0
63,10280.00,0,5,4,0,0
64,10285.00,0,5,4,0,0
65,10290.00,0,5,4,0,0
66,10295.00,0,5,4,0,0
67,10300.00,0,5,4,0,0
68,10305.00,0,5,4,0,0
69,10310.00,0,5,4,0,0
70,10315.00,0,5,4,0,0
71,10320.00,0,5,4,0,0
72,10325.00,0,5,4,0,0
73,10330.00,0,5,4,0,0
74,10335.00,0,5,4,0,0
75,10340.00,0,4,4,0,0
76,10345.00,0,4,4,0,0
77,10350.00,0,4,4,0,0
78,10355.00,0,4,3,0,0
79,10360.00,0,4,2,0,0
80,10365.00,0,4,2,0,0
81,10370.00,0,4,2,0,0
82,10375.00,0,4,2,0,0
83,10380.00,0,3,2,0,0
84,10385.00,0,4,2,0,0
85,10390.00,0,4,2,0,0
86,10395.00,0,4,2,0,0
87,10400.00,0,4,2,0,0
88,10405.00,0,4,2,0,0
89,10410.00,0,4,2,0,0
90,10415.00,0,4,2,0,0
91,10420.00,0,4,2,0,0
92,10425.00,0,4,2,0,0
93,10430.00,0,3,2,0,0
94,10435.00,0,3,2,0,0
95,10440.00,0,3,2,0,0
96,10445.00,0,3,2,0,0
97,10450.00,0,3,2,0,0
98,10455.00,0,3,2,0,0
99,10460.00,0,1,2,0,0
100,10465.00,0,1,2,0,0
101,10470.00,0,1,2,0,0
102,10475.00,0,1,1,0,0
103,10480.00,0,1,2,0,0
104,10485.00,0,1,2,0,0
105,10490.00,0,1,2,0,0
106,10495.00,0,1,2,0,0
107,105.00,10,0,0,6,0
108,10500.00,0,1,1,0,0
109,10505.00,0,1,1,0,0
110,10510.00,0,1,1,0,0
111,10515.00,0,1,1,0,0
112,10520.00,0,1,1,0,0
113,10525.00,0,1,1,0,0
114,10530.00,0,1,1,0,0
115,10535.00,0,1,1,0,0
116,10540.00,0,1,1,0,0
117,10545.00,0,1,1,0,0
118,10550.00,0,1,1,0,0
119,10555.00,0,1,1,0,0
120,10560.00,0,1,1,0,0
121,10565.00,0,1,1,0,0
122,10570.00,0,1,1,0,0
123,10575.00,0,1,1,0,0
124,10580.00,0,1,1,0,0
125,10585.00,0,1,1,0,0
126,10590.00,0,1,1,0,0
127,10595.00,0,1,1,0,0
128,10600.00,0,0,1,0,0
129,10605.00,0,1,1,0,0
130,10610.00,0,1,1,0,0
131,10615.00,0,1,1,0,0
132,10620.00,0,0,1,0,0
133,10625.00,0,0,1,0,0
134,10630.00,0,0,1,0,0
135,10635.00,0,0,1,0,0
136,10640.00,0,0,1,0,0
137,10645.00,0,0,1,0,0
138,10650.00,0,0,1,0,0
139,10655.00,0,0,1,0,0
140,10660.00,0,0,1,0,0
141,10665.00,0,0,1,0,0
142,10670.00,0,0,1,0,0
143,10675.00,0,0,1,0,0
144,10680.00,0,0,1,0,0
145,10685.00,0,0,1,0,0
146,10690.00,0,0,1,0,0
147,10695.00,0,0,1,0,0
148,10700.00,0,0,1,0,0
149,10705.00,0,0,1,0,0
150,10710.00,0,0,1,0,0
151,10715.00,0,0,1,0,0
152,10720.00,0,0,1,0,0
153,10725.00,0,0,2,0,0
154,10730.00,0,0,2,0,0
155,10735.00,0,0,2,0,0
156,10740.00,0,0,2,0,0
157,10745.00,0,0,1,0,0
158,10750.00,0,0,2,0,0
159,10755.00,0,0,2,0,0
160,10760.00,0,0,2,0,0
161,10765.00,0,0,1,0,0
162,10770.00,0,0,1,0,0
163,10775.00,0,0,1,0,0
164,10780.00,0,0,1,0,0
165,10785.00,0,0,1,0,0
166,10790.00,0,0,1,0,0
167,10795.00,0,0,1,0,0
168,10800.00,0,0,1,0,0
169,10805.00,0,0,1,0,0
170,10810.00,0,0,1,0,0
171,10815.00,0,0,1,0,0
172,10820.00,0,0,1,0,0
173,10825.00,0,0,1,0,0
174,10830.00,0,0,1,0,0
175,10835.00,0,0,1,0,0
176,10840.00,0,0,1,0,0
177,10845.00,0,0,1,0,0
178,10850.00,0,0,1,0,0
179,10855.00,0,0,1,0,0
180,10860.00,0,0,1,0,0
181,10865.00,0,0,1,0,0
182,10870.00,0,0,1,0,0
183,10875.00,0,0,1,0,0
184,10880.00,0,0,1,0,0
185,10885.00,0,0,1,0,0
186,10890.00,0,0,1,0,0
187,10895.00,0,0,1,0,0
188,10900.00,0,0,1,0,0
189,10905.00,0,0,1,0,0
190,10910.00,0,0,1,0,0
191,10915.00,0,0,1,0,0
192,10920.00,0,0,1,0,0
193,10925.00,0,0,1,0,0
194,10930.00,0,0,1,0,0
195,10935.00,0,0,1,0,0
196,10940.00,0,0,1,0,0
197,10945.00,0,0,1,0,0
198,10950.00,0,0,1,0,0
199,10955.00,0,0,1,0,0
200,10960.00,0,0,1,0,0
201,10965.00,0,0,1,0,0
202,10970.00,0,0,1,0,0
203,10975.00,0,0,1,0,0
204,10980.00,0,0,1,0,0
205,10985.00,0,0,1,0,0
206,10990.00,0,0,1,0,0
207,10995.00,0,0,1,0,0
208,110.00,10,0,0,6,0
209,11000.00,0,0,1,0,0
210,11005.00,0,0,1,0,0
211,11010.00,0,0,1,0,0
212,11015.00,0,0,1,0,0
213,11020.00,0,0,1,0,0
214,11025.00,0,0,1,0,0
215,11030.00,0,0,2,0,0
216,11035.00,0,0,2,0,0
217,11040.00,0,0,2,0,0
218,11045.00,0,0,2,0,0
219,11050.00,0,0,2,0,0
220,11055.00,0,0,2,0,0
221,11060.00,0,0,2,0,0
222,11065.00,0,0,2,0,0
223,11070.00,0,0,2,0,0
224,11075.00,0,0,2,0,0
225,11080.00,0,0,2,0,0
226,11085.00,0,0,2,0,0
227,11090.00,0,0,2,0,0
228,11095.00,0,0,2,0,0
229,11100.00,0,0,2,0,0
230,11105.00,0,0,2,0,0
231,11110.00,0,0,2,0,0
232,11115.00,0,0,2,0,0
233,11120.00,0,0,2,0,0
234,11125.00,0,0,2,0,0
235,11130.00,0,0,2,0,0
236,11135.00,0,0,2,0,0
237,11140.00,0,0,2,0,0
238,11145.00,0,0,2,0,0
239,11150.00,0,0,2,0,0
240,11155.00,0,0,2,0,0
241,11160.00,0,0,2,0,0
242,11165.00,0,0,2,0,0
243,11170.00,0,0,2,0,0
244,11175.00,0,0,2,0,0
245,11180.00,0,0,2,0,0
246,11185.00,0,0,2,0,0
247,11190.00,0,0,2,0,0
248,11195.00,0,0,2,0,0
249,11200.00,0,0,2,0,0
250,11205.00,0,0,2,0,0
251,11210.00,0,0,2,0,0
252,11215.00,0,0,2,0,0
253,11220.00,0,0,1,0,0
254,11225.00,0,0,2,0,0
255,11230.00,0,0,2,0,0
256,11235.00,0,0,2,0,0
257,11240.00,0,0,2,0,0
258,11245.00,0,0,2,0,0
259,11250.00,0,0,2,0,0
260,11255.00,0,0,2,0,0
261,11260.00,0,0,1,0,0
262,11265.00,0,0,1,0,0
263,11270.00,0,0,1,0,0
264,11275.00,0,0,1,0,0
265,11280.00,0,0,1,0,0
266,11285.00,0,0,1,0,0
267,11290.00,0,0,1,0,0
268,11295.00,0,0,1,0,0
269,11300.00,0,0,1,0,0
270,11305.00,0,0,1,0,0
271,11310.00,0,0,1,0,0
272,11315.00,0,0,1,0,0
273,11320.00,0,0,1,0,0
274,11325.00,0,0,1,0,0
275,11330.00,0,0,1,0,0
276,11335.00,0,0,1,0,0
277,11340.00,0,0,1,0,0
278,11345.00,0,0,1,0,0
279,11350.00,0,0,1,0,0
280,11355.00,0,0,1,0,0
281,11360.00,0,0,1,0,0
282,11365.00,0,0,1,0,0
283,11370.00,0,0,1,0,0
284,11375.00,0,0,1,0,0
285,11380.00,0,0,1,0,0
286,11385.00,0,1,1,0,0
287,11390.00,0,1,1,0,0
288,11395.00,0,1,1,0,0
289,11400.00,0,1,1,0,0
290,11405.00,0,1,1,0,0
291,11410.00,0,1,1,0,0
292,11415.00,0,1,1,0,0
293,11420.00,0,1,1,0,0
294,11425.00,0,1,1,0,0
295,11430.00,0,2,1,0,0
296,11435.00,0,2,1,0,0
297,11440.00,0,2,1,0,0
298,11445.00,0,2,1,0,0
299,11450.00,0,2,1,0,0
300,11455.00,0,2,1,0,0
301,11460.00,0,2,1,0,0
302,11465.00,0,2,1,0,0
303,11470.00,0,2,1,0,0
304,11475.00,0,2,1,0,0
305,11480.00,0,2,1,0,0
306,11485.00,0,2,1,0,0
307,11490.00,0,2,1,0,0
308,11495.00,0,2,1,0,0
309,115.00,10,1,0,5,0
310,11500.00,0,2,1,0,0
311,11505.00,0,2,1,0,0
312,11510.00,0,2,1,0,0
313,11515.00,0,2,1,0,0
314,120.00,10,2,0,5,0
315,125.00,10,2,0,5,0
316,130.00,10,2,0,5,0
317,135.00,10,3,0,5,0
318,140.00,10,4,0,4,0
319,145.00,10,3,0,4,0
320,15.00,3,0,0,0,0
321,150.00,10,4,0,4,0
322,155.00,10,5,0,4,0
323,160.00,10,5,0,4,0
324,165.00,10,5,0,3,0
325,170.00,10,6,0,3,0
326,175.00,10,7,0,3,0
327,180.00,10,8,0,3,0
328,185.00,10,7,0,3,0
329,190.00,10,7,0,3,0
330,195.00,10,8,0,3,0
331,20.00,4,0,0,0,0
332,200.00,10,7,0,3,0
333,205.00,10,8,0,3,0
334,210.00,10,8,0,3,0
335,215.00,10,8,0,3,0
336,220.00,10,9,0,3,0
337,225.00,10,9,0,3,0
338,230.00,10,10,0,3,0
339,235.00,10,10,0,3,0
340,240.00,10,11,0,3,0
341,245.00,10,12,0,3,0
342,25.00,5,0,0,0,0
343,250.00,10,13,0,3,0
344,255.00,10,12,0,3,0
345,260.00,10,12,0,3,0
346,265.00,10,10,0,3,0
347,270.00,10,10,0,3,0
348,275.00,10,11,0,3,0
349,280.00,10,11,0,3,0
350,285.00,10,12,0,3,0
351,290.00,10,11,0,3,0
352,295.00,10,11,0,3,0
353,30.00,6,0,0,0,0
354,300.00,9,11,0,3,0
355,305.00,9,11,0,3,0
356,310.00,9,11,0,3,0
357,315.00,9,12,0,3,0
358,320.00,9,13,0,3,0
359,325.00,9,13,0,3,0
360,330.00,9,14,0,3,0
361,335.00,9,14,0,3,0
362,340.00,9,15,0,3,0
363,345.00,9,15,0,3,0
364,35.00,7,0,0,0,0
365,350.00,9,16,0,3,0
366,355.00,9,17,0,3,0
367,360.00,9,18,0,3,0
368,365.00,9,18,1,3,0
369,370.00,9,17,2,3,0
370,375.00,8,16,3,3,0
371,380.00,8,14,4,3,0
372,385.00,6,14,5,3,0
373,390.00,6,13,6,3,0
374,395.00,6,13,7,3,0
375,40.00,8,0,0,0,0
376,400.00,6,13,8,3,0
377,405.00,5,12,9,3,0
378,410.00,4,12,9,3,0
379,415.00,3,12,10,3,0
380,420.00,2,11,11,3,0
381,425.00,2,10,12,3,0
382,430.00,1,10,13,3,0
383,435.00,1,9,14,3,0
384,440.00,1,9,12,3,0
385,445.00,0,8,12,3,0
386,45.00,9,0,0,0,0
387,450.00,0,7,12,3,0
388,455.00,0,7,12,3,0
389,460.00,0,7,11,3,0
390,465.00,0,7,11,3,0
391,470.00,0,7,11,3,0
392,475.00,0,7,11,3,0
393,480.00,0,7,10,3,0
394,485.00,0,7,10,3,0
395,490.00,0,7,9,3,0
396,495.00,0,7,9,3,0
397,5.00,2,0,0,0,0
398,50.00,10,0,0,0,0
399,500.00,0,6,9,3,0
400,505.00,0,5,9,3,0
401,510.00,0,5,9,3,0
402,515.00,0,5,9,3,0
403,520.00,0,5,9,3,0
404,525.00,0,5,9,3,0
405,530.00,0,5,8,3,0
406,535.00,0,5,6,3,0
407,540.00,0,5,6,3,0
408,545.00,0,5,6,3,0
409,55.00,10,0,0,1,0
410,550.00,0,5,6,3,0
411,555.00,0,5,6,3,0
412,560.00,0,5,5,3,0
413,565.00,0,5,5,3,0
414,570.00,0,5,5,3,0
415,575.00,0,4,4,3,0
416,580.00,0,3,4,3,0
417,5805.00,0,1,0,0,0
418,5810.00,0,1,0,0,0
419,5815.00,0,1,0,0,0
420,5820.00,0,1,0,0,0
421,5825.00,0,1,0,0,0
422,5830.00,0,1,0,0,0
423,5835.00,0,1,0,0,0
424,5840.00,0,1,0,0,0
425,5845.00,0,1,0,0,0
426,585.00,0,2,4,3,0
427,5850.00,0,1,0,0,0
428,5855.00,0,1,0,0,0
429,5860.00,0,1,0,0,0
430,5865.00,0,1,0,0,0
431,5870.00,0,1,0,0,0
432,5875.00,0,1,0,0,0
433,5880.00,0,1,0,0,0
434,5885.00,0,1,0,0,0
435,5890.00,0,1,0,0,0
436,5895.00,0,1,0,0,0
437,590.00,0,2,3,3,0
438,5900.00,0,1,0,0,0
439,5905.00,0,1,0,0,0
440,5910.00,0,1,0,0,0
441,5915.00,0,1,0,0,0
442,5920.00,0,1,0,0,0
443,5925.00,0,1,0,0,0
444,5930.00,0,1,0,0,0
445,5935.00,0,1,0,0,0
446,5940.00,0,1,0,0,0
447,5945.00,0,1,0,0,0
448,595.00,0,2,3,3,0
449,5950.00,0,1,0,0,0
450,5955.00,0,1,0,0,0
451,5960.00,0,1,0,0,0
452,5965.00,0,1,0,0,0
453,5970.00,0,1,0,0,0
454,5975.00,0,1,0,0,0
455,5980.00,0,1,0,0,0
456,5985.00,0,1,0,0,0
457,5990.00,0,1,0,0,0
458,5995.00,0,1,0,0,0
459,60.00,10,0,0,2,0
460,600.00,0,2,3,3,0
461,6000.00,0,1,0,0,0
462,6005.00,0,1,0,0,0
463,6010.00,0,1,0,0,0
464,6015.00,0,1,0,0,0
465,6020.00,0,1,0,0,0
466,6025.00,0,1,0,0,0
467,6030.00,0,1,0,0,0
468,6035.00,0,1,0,0,0
469,6040.00,0,1,0,0,0
470,6045.00,0,1,0,0,0
471,605.00,0,2,3,3,0
472,6050.00,0,1,0,0,0
473,6055.00,0,1,0,0,0
474,6060.00,0,1,0,0,0
475,6065.00,0,1,0,0,0
476,6070.00,0,1,0,0,0
477,6075.00,0,1,0,0,0
478,6080.00,0,1,0,0,0
479,6085.00,0,1,0,0,0
480,6090.00,0,1,0,0,0
481,6095.00,0,1,0,0,0
482,610.00,0,2,3,3,0
483,6100.00,0,1,0,0,0
484,6105.00,0,1,0,0,0
485,6110.00,0,1,0,0,0
486,6115.00,0,1,0,0,0
487,6120.00,0,1,0,0,0
488,6125.00,0,1,0,0,0
489,6130.00,0,1,0,0,0
490,6135.00,0,1,0,0,0
491,6140.00,0,1,0,0,0
492,6145.00,0,1,0,0,0
493,615.00,0,2,2,3,0
494,6150.00,0,1,0,0,0
495,6155.00,0,1,0,0,0
496,6160.00,0,1,0,0,0
497,6165.00,0,1,0,0,0
498,6170.00,0,1,0,0,0
499,6175.00,0,1,0,0,0
500,6180.00,0,1,0,0,0
501,6185.00,0,1,0,0,0
502,6190.00,0,1,0,0,0
503,6195.00,0,1,0,0,0
504,620.00,0,2,2,3,0
505,6200.00,0,1,0,0,0
506,6205.00,0,1,0,0,0
507,6210.00,0,1,0,0,0
508,6215.00,0,1,0,0,0
509,6220.00,0,1,0,0,0
510,6225.00,0,1,0,0,0
511,6230.00,0,1,0,0,0
512,6240.00,0,1,0,0,0
513,6245.00,0,1,0,0,0
514,625.00,0,2,2,3,0
515,630.00,0,1,2,3,0
516,6325.00,0,1,0,0,0
517,6330.00,0,1,0,0,0
518,6335.00,0,1,0,0,0
519,6340.00,0,1,0,0,0
520,6345.00,0,1,0,0,0
521,635.00,0,1,1,3,0
522,6350.00,0,1,0,0,0
523,6355.00,0,1,0,0,0
524,6360.00,0,1,0,0,0
525,6365.00,0,1,0,0,0
526,6370.00,0,1,0,0,0
527,6375.00,0,1,0,0,0
528,6380.00,0,1,0,0,0
529,6385.00,0,2,0,0,0
530,6390.00,0,2,0,0,0
531,6395.00,0,2,0,0,0
532,640.00,0,1,1,3,0
533,6400.00,0,2,0,0,0
534,6405.00,0,2,0,0,0
535,6410.00,0,2,0,0,0
536,6415.00,0,2,0,0,0
537,6420.00,0,2,0,0,0
538,6425.00,0,2,0,0,0
539,6430.00,0,2,0,0,0
540,6435.00,0,2,0,0,0
541,6440.00,0,2,0,0,0
542,6445.00,0,2,0,0,0
543,645.00,0,1,1,3,0
544,6450.00,0,2,0,0,0
545,6455.00,0,2,0,0,0
546,6460.00,0,2,0,0,0
547,6465.00,0,2,0,0,0
548,6470.00,0,2,0,0,0
549,6475.00,0,2,0,0,0
550,6480.00,0,2,0,0,0
551,6485.00,0,2,0,0,0
552,6490.00,0,2,0,0,0
553,6495.00,0,2,0,0,0
554,65.00,10,0,0,2,0
555,650.00,0,1,1,3,0
556,6500.00,0,2,0,0,0
557,6505.00,0,2,0,0,0
558,6510.00,0,2,0,0,0
559,6515.00,0,2,0,0,0
560,6520.00,0,2,0,0,0
561,6525.00,0,2,0,0,0
562,6530.00,0,2,0,0,0
563,6535.00,0,2,0,0,0
564,6540.00,0,2,0,0,0
565,6545.00,0,2,0,0,0
566,655.00,0,1,1,3,0
567,6550.00,0,2,0,0,0
568,6555.00,0,2,0,0,0
569,6560.00,0,2,0,0,0
570,6565.00,0,2,0,0,0
571,6570.00,0,2,0,0,0
572,6575.00,0,2,0,0,0
573,6580.00,0,3,0,0,0
574,6585.00,0,3,0,0,0
575,6590.00,0,3,0,0,0
576,6595.00,0,3,0,0,0
577,660.00,0,1,1,3,0
578,6600.00,0,3,0,0,0
579,6605.00,0,3,0,0,0
580,6610.00,0,3,0,0,0
581,6615.00,0,3,0,0,0
582,6620.00,0,3,0,0,0
583,6625.00,0,3,0,0,0
584,6630.00,0,3,0,0,0
585,6635.00,0,3,0,0,0
586,6640.00,0,3,0,0,0
587,6645.00,0,3,0,0,0
588,665.00,0,1,1,3,0
589,6650.00,0,3,0,0,0
590,6655.00,0,3,0,0,0
591,6660.00,0,3,0,0,0
592,6665.00,0,3,0,0,0
593,6670.00,0,3,0,0,0
594,6675.00,0,3,0,0,0
595,6680.00,0,3,0,0,0
596,6685.00,0,3,0,0,0
597,6690.00,0,3,0,0,0
598,6695.00,0,3,0,0,0
599,670.00,0,1,1,3,0
600,6700.00,0,3,0,0,0
601,6705.00,0,3,0,0,0
602,6710.00,0,3,0,0,0
603,6715.00,0,3,0,0,0
604,6720.00,0,2,0,0,0
605,6725.00,0,2,0,0,0
606,6730.00,0,2,0,0,0
607,6735.00,0,2,0,0,0
608,6740.00,0,2,0,0,0
609,6745.00,0,2,0,0,0
610,675.00,0,1,0,3,0
611,6750.00,0,2,0,0,0
612,6755.00,0,2,0,0,0
613,6760.00,0,2,0,0,0
614,6765.00,0,2,0,0,0
615,6770.00,0,2,0,0,0
616,6775.00,0,2,0,0,0
617,6780.00,0,2,0,0,0
618,6785.00,0,2,0,0,0
619,6790.00,0,2,0,0,0
620,6795.00,0,2,0,0,0
621,680.00,0,1,0,3,0
622,6800.00,0,2,0,0,0
623,6805.00,0,2,0,0,0
624,6810.00,0,2,0,0,0
625,6815.00,0,2,0,0,0
626,6820.00,0,2,0,0,0
627,6825.00,0,2,0,0,0
628,6830.00,0,2,0,0,0
629,6835.00,0,2,0,0,0
630,6840.00,0,2,0,0,0
631,6845.00,0,2,0,0,0
632,685.00,0,1,0,3,0
633,6850.00,0,2,0,0,0
634,6855.00,0,2,0,0,0
635,6860.00,0,1,0,0,0
636,6865.00,0,2,0,0,0
637,6870.00,0,2,0,0,0
638,6875.00,0,1,0,0,0
639,6880.00,0,1,0,0,0
640,6885.00,0,1,0,0,0
641,6890.00,0,1,0,0,0
642,6895.00,1,1,0,0,0
643,690.00,0,1,0,3,0
644,6900.00,1,1,0,0,0
645,6905.00,1,1,0,0,0
646,6910.00,1,1,0,0,0
647,6915.00,1,1,0,0,0
648,6920.00,1,1,0,0,0
649,6925.00,1,1,0,0,0
650,6930.00,1,2,0,0,0
651,6935.00,1,3,0,0,0
652,6940.00,1,3,0,0,0
653,6945.00,1,3,0,0,0
654,695.00,0,1,0,3,0
655,6950.00,1,3,0,0,0
656,6955.00,1,3,0,0,0
657,6960.00,1,3,0,0,0
658,6965.00,1,3,0,0,0
659,6970.00,1,3,0,0,0
660,6975.00,1,3,0,0,0
661,6980.00,1,3,0,0,0
662,6985.00,1,3,0,0,0
663,6990.00,2,3,0,0,0
664,6995.00,2,3,0,0,0
665,70.00,10,0,0,3,0
666,700.00,0,1,0,3,0
667,7000.00,2,3,0,0,0
